sName,variety,year,DOY,FINT,thisDisease
Indiana,Generic,1986,161,,61.35249498
Indiana,Generic,1986,164,,88.7471822
Indiana,Generic,1987,132,,5.122140496
Indiana,Generic,1987,139,,7.182428775
Indiana,Generic,1987,146,,30.49161215
Indiana,Generic,1987,152,,53.75904332
Indiana,Generic,1987,159,,68.53969038
Indiana,Generic,1988,123,,0.352928004
Indiana,Generic,1988,130,,1.108327684
Indiana,Generic,1988,137,,3.556008775
Indiana,Generic,1988,144,,9.564429316
Indiana,Generic,1989,124,,0.166215184
Indiana,Generic,1989,131,,0.166215184
Indiana,Generic,1989,138,,0.821516775
Indiana,Generic,1989,142,,8.559978751
Indiana,Generic,1989,150,,10.19247944
Indiana,Generic,1989,156,,36.29061908
Indiana,Generic,1989,163,,68.9003902
Indiana,Generic,1989,169,,83.89990887
Indiana,Generic,1990,127,,5.487249975
Indiana,Generic,1990,135,,23.14511852
Indiana,Generic,1990,141,,38.83097234
Indiana,Generic,1990,149,,46.8118251
Indiana,Generic,1990,157,,62.72385483
Indiana,Generic,1990,164,,72.74449024
Indiana,Generic,1990,170,,87.31941176
Indiana,Generic,1991,128,,8.559978751
Indiana,Generic,1991,135,,18.45155324
Indiana,Generic,1991,141,,34.47306438
Indiana,Generic,1991,149,,69.0810926
Indiana,Generic,1991,155,,88.3380728
